image_scale :	 0.00392156862745098
image_mean :	 [[[0.3859 0.4905 0.2895]]]
image_std :	 [[[0.1718 0.1712 0.1518]]]
scales :	 [0.7, 1, 1.3]
shorter_side :	 224
data_dir :	 ./data/maize_counting_dataset
dataset :	 mtc
exp :	 tasselnetv2plus
data_list :	 ./data/maize_counting_dataset/train.txt
data_val_list :	 ./data/maize_counting_dataset/test.txt
restore_from :	 ./snapshots/mtc/tasselnetv2plus/model_best.pth.tar
snapshot_dir :	 ./snapshots/mtc/tasselnetv2plus
result_dir :	 ./results/mtc/tasselnetv2plus
save_output :	 False
input_size :	 64
output_stride :	 8
resize_ratio :	 0.125
model :	 tasselnetv2plus
use_pretrained :	 False
freeze_bn :	 False
sync_bn :	 False
optimizer :	 sgd
batch_size :	 9
milestones :	 [200, 400]
crop_size :	 (256, 256)
evaluate_only :	 False
learning_rate :	 0.01
momentum :	 0.95
weight_decay :	 0.0005
mult :	 1
num_epochs :	 500
num_workers :	 0
print_every :	 10
random_seed :	 2020
val_every :	 10
epoch: 10, mae: 19.24, mse: 27.99, rmae: 59.82%, rmse: 73.98%, r2: 0.3903
epoch: 20, mae: 24.43, mse: 27.10, rmae: 321.62%, rmse: 719.53%, r2: 0.7112
epoch: 30, mae: 24.66, mse: 29.16, rmae: 276.23%, rmse: 598.77%, r2: 0.5090
epoch: 40, mae: 15.06, mse: 20.83, rmae: 55.70%, rmse: 81.62%, r2: 0.7568
epoch: 50, mae: 8.08, mse: 14.13, rmae: 67.24%, rmse: 152.01%, r2: 0.7416
epoch: 60, mae: 8.58, mse: 13.47, rmae: 75.37%, rmse: 187.49%, r2: 0.7721
epoch: 70, mae: 8.82, mse: 12.50, rmae: 69.98%, rmse: 153.73%, r2: 0.8408
epoch: 80, mae: 13.66, mse: 18.23, rmae: 48.69%, rmse: 55.12%, r2: 0.8047
epoch: 90, mae: 7.98, mse: 11.42, rmae: 113.13%, rmse: 318.09%, r2: 0.8363
epoch: 100, mae: 11.86, mse: 15.60, rmae: 44.68%, rmse: 63.01%, r2: 0.8457
epoch: 110, mae: 10.18, mse: 14.11, rmae: 140.89%, rmse: 387.62%, r2: 0.7442
epoch: 120, mae: 11.64, mse: 16.83, rmae: 36.19%, rmse: 41.96%, r2: 0.8378
epoch: 130, mae: 6.65, mse: 12.48, rmae: 42.27%, rmse: 84.02%, r2: 0.7950
epoch: 140, mae: 10.24, mse: 16.07, rmae: 37.45%, rmse: 46.03%, r2: 0.7791
epoch: 150, mae: 10.72, mse: 16.65, rmae: 33.92%, rmse: 41.70%, r2: 0.7880
epoch: 160, mae: 12.31, mse: 16.15, rmae: 103.99%, rmse: 268.27%, r2: 0.8070
