image_scale :	 0.00392156862745098
image_mean :	 [[[0.3859 0.4905 0.2895]]]
image_std :	 [[[0.1718 0.1712 0.1518]]]
scales :	 [0.7, 1, 1.3]
shorter_side :	 224
data_dir :	 ./data/maize_counting_dataset
dataset :	 mtc
exp :	 tasselnetv2plus
data_list :	 ./data/maize_counting_dataset/train.txt
data_val_list :	 ./data/maize_counting_dataset/test.txt
restore_from :	 ./snapshots\mtc\tasselnetv2plus\model_best.pth.tar
snapshot_dir :	 ./snapshots\mtc\tasselnetv2plus
result_dir :	 ./results\mtc\tasselnetv2plus
save_output :	 False
input_size :	 64
output_stride :	 8
resize_ratio :	 0.125
model :	 tasselnetv2plus
use_pretrained :	 False
freeze_bn :	 False
sync_bn :	 False
optimizer :	 sgd
batch_size :	 9
milestones :	 [200, 400]
crop_size :	 (256, 256)
evaluate_only :	 False
learning_rate :	 0.01
momentum :	 0.95
weight_decay :	 0.0005
mult :	 1
num_epochs :	 500
num_workers :	 0
print_every :	 10
random_seed :	 2020
val_every :	 10
epoch: 10, mae: 24.53, mse: 30.41, rmae: 465.80%, rmse: 1199.18%, r2: 0.3520
epoch: 20, mae: 13.61, mse: 20.45, rmae: 95.60%, rmse: 201.77%, r2: 0.5298
epoch: 30, mae: 8.45, mse: 13.98, rmae: 52.22%, rmse: 106.52%, r2: 0.7384
epoch: 40, mae: 10.41, mse: 16.62, rmae: 41.16%, rmse: 57.04%, r2: 0.7348
epoch: 50, mae: 9.50, mse: 14.01, rmae: 112.16%, rmse: 252.82%, r2: 0.7336
epoch: 60, mae: 7.64, mse: 13.87, rmae: 38.04%, rmse: 68.49%, r2: 0.7565
epoch: 70, mae: 8.32, mse: 13.61, rmae: 35.10%, rmse: 49.74%, r2: 0.7887
epoch: 80, mae: 12.88, mse: 20.80, rmae: 51.06%, rmse: 80.39%, r2: 0.5946
epoch: 90, mae: 7.56, mse: 11.43, rmae: 85.12%, rmse: 231.70%, r2: 0.8199
epoch: 100, mae: 15.03, mse: 22.01, rmae: 53.21%, rmse: 73.25%, r2: 0.6310
epoch: 110, mae: 8.12, mse: 12.30, rmae: 34.80%, rmse: 52.19%, r2: 0.8672
epoch: 120, mae: 6.50, mse: 10.79, rmae: 47.05%, rmse: 115.38%, r2: 0.8579
