image_scale :	 0.00392156862745098
image_mean :	 [[[0.3859 0.4905 0.2895]]]
image_std :	 [[[0.1718 0.1712 0.1518]]]
scales :	 [0.7, 1, 1.3]
shorter_side :	 224
data_dir :	 ./data/maize_counting_dataset
dataset :	 mtc
exp :	 tasselnetv2plus
data_list :	 ./data/maize_counting_dataset/train.txt
data_val_list :	 ./data/maize_counting_dataset/test.txt
restore_from :	 ./snapshots/mtc/tasselnetv2plus/model_best.pth.tar
snapshot_dir :	 ./snapshots/mtc/tasselnetv2plus
result_dir :	 ./results/mtc/tasselnetv2plus
save_output :	 False
input_size :	 64
output_stride :	 8
resize_ratio :	 0.125
model :	 tasselnetv2plus
use_pretrained :	 False
freeze_bn :	 False
sync_bn :	 False
optimizer :	 sgd
batch_size :	 9
milestones :	 [200, 400]
crop_size :	 (256, 256)
evaluate_only :	 False
learning_rate :	 0.01
momentum :	 0.95
weight_decay :	 0.0005
mult :	 1
num_epochs :	 500
num_workers :	 0
print_every :	 10
random_seed :	 2020
val_every :	 10
epoch: 10, mae: 12.84, mse: 17.18, rmae: 106.32%, rmse: 236.98%, r2: 0.5865
epoch: 20, mae: 12.25, mse: 17.15, rmae: 113.20%, rmse: 246.75%, r2: 0.7074
epoch: 30, mae: 12.84, mse: 16.64, rmae: 117.41%, rmse: 247.36%, r2: 0.6723
epoch: 40, mae: 12.00, mse: 16.42, rmae: 162.13%, rmse: 381.87%, r2: 0.6431
epoch: 50, mae: 10.86, mse: 16.93, rmae: 95.20%, rmse: 216.41%, r2: 0.6600
epoch: 60, mae: 14.04, mse: 17.60, rmae: 189.95%, rmse: 437.63%, r2: 0.7295
epoch: 70, mae: 7.90, mse: 12.93, rmae: 40.66%, rmse: 81.01%, r2: 0.8267
epoch: 80, mae: 10.72, mse: 13.92, rmae: 124.81%, rmse: 283.20%, r2: 0.7802
epoch: 90, mae: 9.68, mse: 15.17, rmae: 45.01%, rmse: 84.75%, r2: 0.7766
epoch: 100, mae: 10.19, mse: 13.65, rmae: 108.62%, rmse: 293.21%, r2: 0.8055
epoch: 110, mae: 11.73, mse: 17.51, rmae: 68.55%, rmse: 133.92%, r2: 0.7399
epoch: 120, mae: 8.93, mse: 11.94, rmae: 104.67%, rmse: 234.18%, r2: 0.8231
epoch: 130, mae: 5.95, mse: 10.72, rmae: 36.74%, rmse: 68.29%, r2: 0.8437
epoch: 140, mae: 9.29, mse: 12.79, rmae: 141.80%, rmse: 379.35%, r2: 0.7921
epoch: 150, mae: 8.23, mse: 11.81, rmae: 106.84%, rmse: 243.30%, r2: 0.8152
epoch: 160, mae: 7.07, mse: 10.76, rmae: 75.00%, rmse: 189.67%, r2: 0.8470
