image_scale :	 0.00392156862745098
image_mean :	 [[[0.3859 0.4905 0.2895]]]
image_std :	 [[[0.1718 0.1712 0.1518]]]
scales :	 [0.7, 1, 1.3]
shorter_side :	 224
data_dir :	 ./data/maize_counting_dataset
dataset :	 mtc
exp :	 tasselnetv2plus
data_list :	 ./data/maize_counting_dataset/train.txt
data_val_list :	 ./data/maize_counting_dataset/test.txt
restore_from :	 ./snapshots\mtc\tasselnetv2plus\model_best.pth.tar
snapshot_dir :	 ./snapshots\mtc\tasselnetv2plus
result_dir :	 ./results\mtc\tasselnetv2plus
save_output :	 False
input_size :	 64
output_stride :	 8
resize_ratio :	 0.125
model :	 tasselnetv2plus
use_pretrained :	 False
freeze_bn :	 False
sync_bn :	 False
optimizer :	 sgd
batch_size :	 9
milestones :	 [200, 400]
crop_size :	 (256, 256)
evaluate_only :	 False
learning_rate :	 0.01
momentum :	 0.95
weight_decay :	 0.0005
mult :	 1
num_epochs :	 500
num_workers :	 0
print_every :	 10
random_seed :	 2020
val_every :	 10
epoch: 10, mae: 21.07, mse: 29.43, rmae: 71.84%, rmse: 97.88%, r2: 0.3957
epoch: 20, mae: 11.86, mse: 15.28, rmae: 167.36%, rmse: 374.13%, r2: 0.7182
epoch: 30, mae: 9.00, mse: 14.10, rmae: 36.52%, rmse: 53.56%, r2: 0.7675
epoch: 40, mae: 6.57, mse: 11.30, rmae: 44.16%, rmse: 92.98%, r2: 0.8251
epoch: 50, mae: 15.60, mse: 22.14, rmae: 67.70%, rmse: 120.14%, r2: 0.6621
epoch: 60, mae: 7.43, mse: 12.42, rmae: 54.69%, rmse: 134.11%, r2: 0.7844
epoch: 70, mae: 8.32, mse: 10.93, rmae: 117.47%, rmse: 312.17%, r2: 0.8601
epoch: 80, mae: 12.14, mse: 17.27, rmae: 41.55%, rmse: 48.72%, r2: 0.7910
epoch: 90, mae: 8.55, mse: 11.55, rmae: 98.37%, rmse: 229.52%, r2: 0.8417
epoch: 100, mae: 10.24, mse: 13.71, rmae: 41.96%, rmse: 54.34%, r2: 0.8667
epoch: 110, mae: 10.67, mse: 13.46, rmae: 147.07%, rmse: 364.71%, r2: 0.8203
epoch: 120, mae: 10.46, mse: 14.80, rmae: 39.87%, rmse: 93.50%, r2: 0.8334
epoch: 130, mae: 9.42, mse: 12.61, rmae: 72.31%, rmse: 154.48%, r2: 0.8159
epoch: 140, mae: 7.62, mse: 11.68, rmae: 48.02%, rmse: 95.60%, r2: 0.8664
epoch: 150, mae: 10.83, mse: 16.25, rmae: 45.41%, rmse: 79.48%, r2: 0.7945
epoch: 160, mae: 14.84, mse: 19.38, rmae: 44.11%, rmse: 48.63%, r2: 0.8901
