image_scale :	 0.00392156862745098
image_mean :	 [[[0.4051 0.4392 0.2344]]]
image_std :	 [[[0.2569 0.262  0.2287]]]
scales :	 [0.7, 1, 1.3]
shorter_side :	 224
data_dir :	 ./data/wheat_ears_counting_dataset
dataset :	 wec
exp :	 tasselnetv2plus
data_list :	 ./data/wheat_ears_counting_dataset/train.txt
data_val_list :	 ./data/wheat_ears_counting_dataset/val.txt
restore_from :	 ./snapshots/wec/tasselnetv2plus/model_best.pth.tar
snapshot_dir :	 ./snapshots/wec/tasselnetv2plus
result_dir :	 ./results/wec/tasselnetv2plus
save_output :	 False
input_size :	 64
output_stride :	 8
resize_ratio :	 0.167
model :	 tasselnetv2plus
use_pretrained :	 False
freeze_bn :	 False
sync_bn :	 False
optimizer :	 sgd
batch_size :	 8
milestones :	 [200, 400]
crop_size :	 (512, 512)
evaluate_only :	 False
learning_rate :	 0.01
momentum :	 0.87
weight_decay :	 0.0005
mult :	 1
num_epochs :	 500
num_workers :	 0
print_every :	 10
random_seed :	 2020
val_every :	 10
epoch: 10, mae: 78.28, mse: 82.74, rmae: 58.00%, rmse: 60.71%, r2: 0.0504
epoch: 20, mae: 9.46, mse: 12.36, rmae: 7.03%, rmse: 9.25%, r2: 0.6612
epoch: 30, mae: 7.99, mse: 10.56, rmae: 6.10%, rmse: 8.20%, r2: 0.8363
epoch: 40, mae: 6.23, mse: 7.86, rmae: 4.73%, rmse: 6.00%, r2: 0.8400
epoch: 50, mae: 19.31, mse: 24.60, rmae: 14.97%, rmse: 19.36%, r2: 0.3240
epoch: 60, mae: 34.56, mse: 36.94, rmae: 25.84%, rmse: 27.55%, r2: 0.5923
epoch: 70, mae: 30.06, mse: 31.18, rmae: 22.41%, rmse: 23.14%, r2: 0.8070
epoch: 80, mae: 13.94, mse: 16.08, rmae: 10.15%, rmse: 11.42%, r2: 0.7966
epoch: 90, mae: 25.35, mse: 26.60, rmae: 18.98%, rmse: 19.85%, r2: 0.8207
epoch: 100, mae: 31.68, mse: 32.35, rmae: 23.56%, rmse: 23.83%, r2: 0.9016
epoch: 110, mae: 22.92, mse: 25.23, rmae: 17.41%, rmse: 19.37%, r2: 0.7729
epoch: 120, mae: 28.90, mse: 29.61, rmae: 21.64%, rmse: 22.07%, r2: 0.8820
